Description,Specification,Ratings,Price,Original_price,Discount,Reviews
"Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen 11320H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) 15IHU6 Gaming Laptop  (15.6 inch, Shadow Black, 2.25 kg)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', '15IHU6'], ['Part Number', '82K101PCIN'], ['Model Name', '15IHU6'], ['Series', 'IdeaPad Gaming 3'], ['Color', 'Shadow Black'], ['Type', 'Gaming Laptop'], ['Suitable For', 'Gaming'], ['Power Supply', '135W Slim Tip (3 Pin)'], ['MS Office Provided', 'No']]","['4.2', '4.2', '4.3', '3.8']","['₹50,990']","['₹71,290']",['28% off'],"['244 Ratings & 21 Reviews', '(244)', '(17,758)', '(81)']"
"Acer Aspire 3 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A315-59 Thin and Light Laptop  (15.6 Inch, Pure Silver, 1.78 Kg, With MS Office)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', 'A315-59'], ['Part Number', 'NX.K6TSI.009 / UN.K6TSI.002/ UN.K6TSI.016'], ['Model Name', 'Aspire 3'], ['Series', 'Aspire 3'], ['Color', 'Pure Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Power Supply', '45 W AC adapter'], ['Battery Cell', '3 Cell'], ['MS Office Provided', 'Yes']]","['4.1', '4.1', '4', '4.4']","['₹44,990']","['₹67,999']",['33% off'],"['493 Ratings & 39 Reviews', '(493)', '(73)', '(8,553)']"
"MSI Bravo 15 AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX6500M/144 Hz) Bravo 15 B5ED-035IN Gaming Laptop  (15.6 inch, Black, 2.35 Kg)","[['Sales Package', 'Laptop, power adapter'], ['Model Number', 'Bravo 15 B5ED-035IN'], ['Part Number', '9S7-158M12-035'], ['Model Name', 'Bravo 15 B5ED'], ['Series', 'Bravo 15'], ['Color', 'Black'], ['Type', 'Gaming Laptop'], ['Suitable For', 'Gaming'], ['Power Supply', '150W adapter'], ['MS Office Provided', 'No']]","['4.4', '4.4', '4', '4.5']","['₹56,990']","['₹72,990']",['21% off'],"['1,076 Ratings & 132 Reviews', '(1,076)', '(73)', '(1,927)']"
"Acer One14 Backlit Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) Z8-415 Thin and Light Laptop  (14 Inch, Silver, 1.49 Kg)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', 'Z8-415'], ['Part Number', 'UN.599SI.020'], ['Model Name', 'Z8-415'], ['Series', 'One14 Backlit'], ['Color', 'Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['MS Office Provided', 'No']]","['3.7', '3.7', '3.9', '4.6']","['₹34,990']","['₹59,999']",['41% off'],"['1,632 Ratings & 220 Reviews', '(1,632)', '(2,662)', '(346)']"
"ASUS Vivobook S15 OLED Intel EVO H-Series Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11 Home) K3502ZA-L702WS Thin and Light Laptop  (15.6 inch, Indie Black, 1.80 Kg, With MS Office)",[],"['4', '4', '4', '4.2']","['₹77,990']","['₹1,16,990']",['33% off'],"['61 Ratings & 4 Reviews', '(61)', '(7,674)', '(1,824)']"
"HP Pavilion Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 14-dv2014TU Thin and Light Laptop  (14 inch, Natural Silver, 1.41 Kg, With MS Office)","[['Sales Package', 'Laptop, Power Adapter, User Guide, Warranty Documents'], ['Model Number', '14-dv2014TU'], ['Part Number', '6K9C3PA#ACJ'], ['Model Name', '14-dv2014TU'], ['Series', 'Pavilion'], ['Color', 'Natural Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Entertainment, Performance'], ['Battery Cell', '3'], ['MS Office Provided', 'Yes']]","['4.3', '4.3', '3.9', '4.4']","['₹63,990']","['₹77,142']",['17% off'],"['1,316 Ratings & 112 Reviews', '(1,316)', '(2,662)', '(15,663)']"
"MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-062IN Thin and Light Laptop  (14 Inch, Urban Silver, 1.4 Kg)","[['Sales Package', 'Laptop, Power adapter'], ['Model Number', 'Modern 14 C7M-062IN'], ['Part Number', '9S7-14JK11-062'], ['Model Name', 'Modern 14 C7M-062IN'], ['Series', 'Modern 14'], ['Color', 'Urban Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking, Entertainment'], ['Power Supply', '65W adapter'], ['Battery Cell', '3 cell'], ['MS Office Provided', 'No']]","['4.4', '4.4', '3.3', '4.2']","['₹37,990']","['₹64,990']",['41% off'],"['713 Ratings & 100 Reviews', '(713)', '(15)', '(1,791)']"
"Lenovo ThinkPad 15 Intel Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) TB15 G4 IAP Thin and Light Laptop  (15.6 Inch, Mineral Grey, 1.7 Kg)","[['Sales Package', 'Laptop, User manual, Adapter'], ['Model Number', 'TB15 G4 IAP'], ['Part Number', '21DJA049IH'], ['Model Name', 'TB15 G4 IAP'], ['Series', 'ThinkPad 15 Intel'], ['Color', 'Mineral Grey'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto 6 Hours'], ['Battery Cell', '3 Cell'], ['MS Office Provided', 'No']]","['4', '4', '3.9', '4.2']","['₹49,990']","['₹64,029']",['21% off'],"['101 Ratings & 14 Reviews', '(101)', '(5,026)', '(1,791)']"
"HP Chromebook Plus (2023) Intel Core i5 11th Gen 1135G7 - (8 GB/256 GB SSD/Chrome OS) 14c-cc0010TU Chromebook  (14 inch, Mineral Silver, 1.49 kg)","[['Sales Package', 'Laptop, Power Adaptor, Battery, Warranty Documents, User Guide'], ['Model Number', '14c-cc0010TU'], ['Part Number', '46D70PA#ACJ'], ['Model Name', '14c-cc0010TU'], ['Series', 'Chromebook Plus (2023)'], ['Color', 'Mineral Silver'], ['Type', 'Chromebook'], ['Suitable For', 'Processing & Multitasking'], ['Battery Cell', '3 Cell'], ['MS Office Provided', 'No']]","['4', '4', '4', '4.5']","['₹42,990']","['₹72,154']",['40% off'],"['115 Ratings & 6 Reviews', '(115)', '(68)', '(69)']"
"Lenovo V15 AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light Laptop  (15.6 Inch, Black, 1.7 Kg)","[['Sales Package', 'Laptop, User manual, Adapter'], ['Model Number', 'V15 G2 ALC'], ['Part Number', '82KDA022IH'], ['Model Name', 'V15 G2 ALC'], ['Series', 'V15'], ['Color', 'Black'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Battery Backup', 'Upto 7.5 Hours'], ['Battery Cell', '2 Cell'], ['MS Office Provided', 'No']]","['4.2', '4.2', '4', '4.2']","['₹35,390']","['₹69,525']",['49% off'],"['1,187 Ratings & 119 Reviews', '(1,187)', '(3,956)', '(1,791)']"
"ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) G513RC-HN061W Gaming Laptop  (15.6 Inch, Eclipse Gray, 2.10 Kg)","[['Sales Package', 'Laptop, Power Adapter, Warranty Documents, User Manual'], ['Model Number', 'G513RC-HN061W'], ['Part Number', '90NR08A5-M00330'], ['Model Name', 'G513RC-HN061W'], ['Series', 'ROG Strix G15'], ['Color', 'Eclipse Gray'], ['Type', 'Gaming Laptop'], ['Suitable For', 'Gaming'], ['Battery Cell', '4 Cell'], ['MS Office Provided', 'No']]","['4.3', '4.3', '4.8', '4']","['₹77,990']","['₹1,17,990']",['33% off'],"['403 Ratings & 47 Reviews', '(403)', '(31)', '(325)']"
"Lenovo IdeaPad Slim 3 Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) 15IRU8 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.62 kg, With MS Office)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', '15IRU8'], ['Part Number', '82X70033IN'], ['Model Name', '15IRU8'], ['Series', 'IdeaPad Slim 3'], ['Color', 'Arctic Grey'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['Power Supply', '65W Round Tip (3 Pin)'], ['MS Office Provided', 'Yes']]","['4', '4', '4', '4.2']","['₹44,990']","['₹64,690']",['30% off'],"['11 Ratings & 3 Reviews', '(11)', '(1,247)', '(1,791)']"
"HP Pavilion (2023) Intel Core i5 13th Gen 1340P - (16 GB/512 GB SSD/Windows 11 Home) 15-eg3079TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.75 Kg)","[['Sales Package', 'Laptop, Power Adaptor, User Guide, Warranty Documents'], ['Model Number', '15-eg3079TU'], ['Part Number', '86T11PA#ACJ'], ['Model Name', '15-eg3079TU'], ['Series', 'Pavilion (2023)'], ['Color', 'Natural Silver'], ['Type', 'Thin and Light Laptop'], ['Suitable For', 'Processing & Multitasking'], ['MS Office Provided', 'No']]","['4.3', '4.3', '3.9', '4.4']","['₹68,990']","['₹83,705']",['17% off'],"['223 Ratings & 14 Reviews', '(223)', '(2,662)', '(31,570)']"
